split	page	row_index	hanzi	wupin	ipa	ipa_digits	image	quality	match_score	candidate_headword	pdf_text	crop_bbox	tone_position	tone_upper_components	tone_lower_components	tone_paired_components	tone_baseline_y
review	123	0	月亮	yoeq1lian55	ɦiøʔ¹liaŋ⁵⁵	ɦiøʔ1liaŋ55	review/images/page_123_0000.png	weak_match	0.5	月兖	月兖fii0?~1 lia1J县，l),i0?P lia1J扎	(256.0, 155.0, 350.0, 193.0)	both_upper_lower	4	2	1	114.93
train	123	1	月亮婆婆	yoeq1lian55bo55bo52	ɦiøʔ¹liaŋ⁵⁵bɒ⁵⁵bɒ⁵²	ɦiøʔ1liaŋ55bɒ55bɒ52	train/images/page_123_0001.png	matched	0.75	月究婆婆	月究婆婆侐？吓a邧bo货b碑，几i0?~1 lia吐bo和bo甘＇对月旯的拟	(308.0, 193.0, 391.0, 232.25)	both_upper_lower	6	2	3	120.65
train	123	2	蛾眉月	ngo11mi55yoeq54	ŋɒ¹¹mi⁵⁵ɦiøʔ⁵⁴	ŋɒ11mi55ɦiøʔ54	train/images/page_123_0002.png	matched	1.0	蛾眉月	蛾眉月1)0汴m 谌I fii0?~1 新月。	(279.0, 272.0, 431.0, 310.0)	upper_only	13	0	0	117.91
train	123	3	月芽	yoeq1ngo52	ɦiøʔ¹ŋɒ⁵²	ɦiøʔ1ŋɒ52	train/images/page_123_0003.png	matched	1.0	月芽	月芽fii0?i3 1J咄	(281.0, 311.0, 385.0, 347.75)	both_upper_lower	7	3	4	113.23
train	123	4	月亮光	yoeq1lian55kuaon52	ɦiøʔ¹liaŋ⁵⁵kuɒŋ⁵²	ɦiøʔ1liaŋ55kuɒŋ52	train/images/page_123_0004.png	matched	1.0	月亮光	月亮光fii0?f3 li叩ikuoIJ52 、几i0汗li叨Ukuo1Js2月光c	(282.0, 349.0, 449.0, 387.0)	lower_only	8	1	0	120.77
train	123	5	月亮地下	yoeq1lian55di55gho52	ɦiøʔ¹liaŋ⁵⁵di⁵⁵ɦɒ⁵²	ɦiøʔ1liaŋ55di55ɦɒ52	train/images/page_123_0005.png	matched	1.0	月亮地下	月亮地下侐？邪叨;tdi县fioW ,I), 切？邪31)技di甘fio扩月兖地儿户	(305.0, 388.0, 431.0, 427.25)	both_upper_lower	6	1	2	117.98
train	123	6	月华	yoeq1wo55	ɦiøʔ¹ɦɒ⁵⁵	ɦiøʔ1ɦɒ55	train/images/page_123_0006.png	matched	1.0	月华	月华fii0?T1fiuo铲月望月究四Ji;J 的光坏c	(258.0, 423.0, 352.0, 466.0)	both_upper_lower	3	1	2	142.31
review	123	7	刚圈	kaon33chioen52	kɒŋ³³tɕʰiø̃⁵²	kɒŋ33tɕʰiø̃52	review/images/page_123_0007.png	weak_match	0.5	刚崩	刚崩kOIJ昔t凸萨橱儿，借指月忙或11 忙	(263.0, 467.0, 406.0, 506.25)	both_upper_lower	5	1	2	113.06
train	123	8	星	shin52	ɕiŋ⁵²	ɕiŋ52	train/images/page_123_0008.png	matched	1.0	星	星CiI)s2 	(234.0, 498.9385986328125, 285.2688293457031, 543.6878051757812)	upper_only	5	0	0	163.23
review	123	9	星宿	shin33shieu55	ɕiŋ³³ɕiə⁵⁵	ɕiŋ33ɕiə55	review/images/page_123_0009.png	weak_match	0.5	星布	星布ciIJ油i戏星座。	(258.0, 545.0, 374.0, 585.5)	upper_only	8	0	0	121.76
train	123	10	黄昏晓	waon11huen55shiau52	ɦɒŋ¹¹huẽ⁵⁵ɕiɤ⁵²	ɦɒŋ11huẽ55ɕiɤ52	train/images/page_123_0010.png	matched	0.6667	苗昏晓	苗昏晓fiUOIJ和hue如io铲即长庚显扒昏时对令兄的称呼。	(283.0, 584.0, 386.0, 622.0)	upper_only	4	0	0	118.47
train	123	11	黄昏星	huaon33huen55shin52	huɒŋ³³huẽ⁵⁵ɕiŋ⁵²	huɒŋ33huẽ55ɕiŋ52	train/images/page_123_0011.png	matched	0.6667	黄昏早	黄昏早fiUOIJ铲bue知iIJ52	(307.0002136230469, 623.0, 412.0, 659.75)	both_upper_lower	4	1	2	115.10
train	123	12	五更晓	ng115kan55shiau52	ŋ¹¹⁵kaŋ⁵⁵ɕiɤ⁵²	ŋ115kaŋ55ɕiɤ52	train/images/page_123_0012.png	matched	1.0	五更晓	五更晓9盄kalJ盏io铲即启叩尼．黎叩时对令旯的称呼6	(283.0002136230469, 662.0, 392.0, 701.25)	both_upper_lower	6	5	8	116.17
train	123	14	牛郎星	gnieu11laon55shin52	ȵiə¹¹lɒŋ⁵⁵ɕiŋ⁵²	ȵiə11lɒŋ55ɕiŋ52	train/images/page_123_0014.png	matched	0.6667	牛郎早	扁抇斥p酰顽如1)51 牛郎早匕	(506.0002136230469, 701.0, 534.0002136230469, 736.5)	no_detected_tone_digits	0	0	0	136.05
train	123	15	纺纱星	faon335so55shin52	fɒŋ³³⁵sɒ⁵⁵ɕiŋ⁵²	fɒŋ335sɒ55ɕiŋ52	train/images/page_123_0015.png	matched	1.0	纺纱星	纺纱星fol)铲so如1)52 织女兄。	(283.0002136230469, 740.0, 358.0, 776.75)	upper_only	3	0	0	119.23
train	123	16	七簇星	chiq3tshoq5shin52	tɕʰiʔ³tsʰoʔ⁵ɕiŋ⁵²	tɕʰiʔ3tsʰoʔ5ɕiŋ52	train/images/page_123_0016.png	matched	0.6667	七簇斤	七簇斤t,;; h iC芹tsho?切i1J 52 北斗星C	(281.0000915527344, 779.0, 402.0, 815.75)	both_upper_lower	6	2	2	118.03
review	123	18	射星	zo11shin11	zɒ¹¹ɕiŋ¹¹	zɒ11ɕiŋ11	review/images/page_123_0018.png	weak_match	0.5	射足	射足Z0 11C i 1J ~T 流咒。	(260.0, 858.0, 354.0, 894.75)	both_upper_lower	5	2	4	115.05
train	123	19	天河	thien33gho52	tʰiẽ³³ɦɒ⁵²	tʰiẽ33ɦɒ52	train/images/page_123_0019.png	matched	1.0	天河	天河t咙部o铲银诃	(260.0, 897.0, 332.0, 935.0)	upper_only	3	0	0	112.78
train	123	20	风	fon52	foŋ⁵²	foŋ52	train/images/page_123_0020.png	matched	1.0	风	风fol) ~2	(237.0, 975.0, 287.0, 1008.0)	upper_only	2	0	0	112.72
