source_dataset	source_path	row_number_0based	sample_id	page	pdf_page	row_index	source_split	quality	hanzi	candidate_headword	wupin	canonical_wupin	current_label	ipa_conversion_status	cleaning_flags	issue_type	ipa_from_wupin	wupin_back	errors
ocr_selected_phonetic_reliable	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_phonetic_reliable\eval_manifest.tsv	6	pdf001_p123_0006	123	1	6	train	matched	月华	月华	yoeq1wo55	yoeq1wo55	ɦiøʔ1ɦuo55	ok	ok	roundtrip_mismatch	ɦiøʔ1ɦuo55	yoeq1wuo55	
ocr_selected_phonetic_reliable	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_phonetic_reliable\eval_manifest.tsv	10	pdf001_p123_0010	123	1	10	train	matched	黄昏晓	苗昏晓	waon11huen55shiau52	waon11huen55shiau52	ɦuɒŋ11huẽ55ɕiɒ52	ok	candidate_headword_differs	roundtrip_mismatch	ɦuɒŋ11huẽ55ɕiɒ52	wuaon11huen55shiau52	
ocr_selected_phonetic_reliable	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_phonetic_reliable\eval_manifest.tsv	24	pdf002_p124_0001	124	2	1	train	matched	鬼子头风	鬼了头风	ciu335tseq5deu55fon52	ciu335tseq5deu55fon52	tɕy335tseʔ5dɤ55foŋ52	ok	candidate_headword_differs	roundtrip_mismatch	tɕy335tseʔ5dɤ55foŋ52	tciu335tseq5deu55fon52	
ocr_selected_phonetic_reliable	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_phonetic_reliable\eval_manifest.tsv	49	pdf003_p125_0004	125	3	4	train	weak_match	雨脚	向脚	yu115ciaq54	yu115ciaq54	ɦy115tɕiaʔ54	ok	non_matched_quality:weak_match;candidate_headword_differs	roundtrip_mismatch	ɦy115tɕiaʔ54	yu115tciaq54	
ocr_selected_phonetic_reliable	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_phonetic_reliable\eval_manifest.tsv	59	pdf003_p125_0019	125	3	19	train	matched	皎致晴天	皎致眙天	ciau33tsy55jin55thien52	ciau33tsy55jin55thien52	tɕiɒ33tsɿ55dʑiŋ55tʰiẽ52	ok	candidate_headword_differs	roundtrip_mismatch	tɕiɒ33tsɿ55dʑiŋ55tʰiẽ52	tciau33tsy55jin55thien52	
ocr_selected_phonetic_reliable	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_phonetic_reliable\eval_manifest.tsv	63	pdf003_p125_0024	125	3	24	train	matched	养花天	养花天	yan115huo55thien52	yan115huo55thien52	ɦiaŋ115huo55tʰiẽ52	ok	ok	roundtrip_mismatch	ɦiaŋ115huo55tʰiẽ52	yian115huo55thien52	
ocr_selected_phonetic_reliable	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_phonetic_reliable\eval_manifest.tsv	64	pdf003_p125_0025	125	3	25	train	matched	黄梅天	黄梅夭	waon11me55thien52	waon11me55thien52	ɦuɒŋ11mᴇ55tʰiẽ52	ok	candidate_headword_differs	roundtrip_mismatch	ɦuɒŋ11mᴇ55tʰiẽ52	wuaon11me55thien52	
ocr_selected_phonetic_reliable	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_phonetic_reliable\eval_manifest.tsv	72	pdf004_p126_0011	126	4	11	train	matched	河头水脚	河头水	gho11deu55sy55cian52	gho11deu55sy55cian52	ɦo11dɤ55sɿ55tɕiaŋ52	ok	candidate_headword_differs	roundtrip_mismatch	ɦo11dɤ55sɿ55tɕiaŋ52	gho11deu55sy55tcian52	
ocr_selected_phonetic_reliable	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_phonetic_reliable\eval_manifest.tsv	95	pdf005_p127_0021	127	5	21	train	weak_match	山脊	山	saen33ciq5	saen33ciq5	sæ̃33tɕieʔ5	ok	non_matched_quality:weak_match;candidate_headword_differs	roundtrip_mismatch	sæ̃33tɕieʔ5	saen33tciq5	
ocr_selected_phonetic_reliable	ipa_ocr_work\dataset\shaoxing_pdf136_clean\ocr_selected_phonetic_reliable\eval_manifest.tsv	97	pdf005_p127_0024	127	5	24	train	matched	山脚	山脚	saen33ciaq5	saen33ciaq5	sæ̃33tɕiaʔ5	ok	ok	roundtrip_mismatch	sæ̃33tɕiaʔ5	saen33tciaq5	
