source_dataset,source_path,row_number_0based,sample_id,page,pdf_page,row_index,source_split,quality,hanzi,candidate_headword,wupin,canonical_wupin,current_label,cleaning_flags,issue_type,ipa_from_wupin,wupin_back,error_code,why_not_ok,recommended_action
source_clean,result_all_converted.clean.csv,6,,123,,,,,月华,,yoeq1wo55,yoeq1wo55,,,roundtrip_mismatch,ɦiøʔ1ɦuo55,yoeq1wuo55,roundtrip_mismatch,? 2 ?? wo->wuo?w- ???/????????? wu-?????????,????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
source_clean,result_all_converted.clean.csv,10,,123,,,,,黄昏晓,,waon11huen55shiau52,waon11huen55shiau52,,,roundtrip_mismatch,ɦuɒŋ11huẽ55ɕiɒ52,wuaon11huen55shiau52,roundtrip_mismatch,? 1 ?? waon->wuaon?w- ???/????????? wu-?????????,????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
source_clean,result_all_converted.clean.csv,27,,124,,,,,鬼子头风,,ciu335tseq5deu55fon52,ciu335tseq5deu55fon52,,,roundtrip_mismatch,tɕy335tseʔ5dɤ55foŋ52,tciu335tseq5deu55fon52,roundtrip_mismatch,? 1 ?? ciu->tciu?IPA ???? c ?????? tc/tci/tcia??????????,????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
source_clean,result_all_converted.clean.csv,36,,124,,,,,鱼厣云,,yu11ieen55yoen52,yu11ieen55yoen52,,,forward_error,ɦy11<ieen55>ɦiø̃52,,unknown_final:ieen:ieen,???? ieen ??? ieen ??????? finals ???????? IPA???????????????????????????,???????????? wupin_ipa_map.json???????????
source_clean,result_all_converted.clean.csv,57,,125,,,,,雨脚,,yu115ciaq54,yu115ciaq54,,,roundtrip_mismatch,ɦy115tɕiaʔ54,yu115tciaq54,roundtrip_mismatch,? 2 ?? ciaq->tciaq?IPA ???? c ?????? tc/tci/tcia??????????,????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
source_clean,result_all_converted.clean.csv,72,,125,,,,,皎致晴天,,ciau33tsy55jin55thien52,ciau33tsy55jin55thien52,,,roundtrip_mismatch,tɕiɒ33tsɿ55dʑiŋ55tʰiẽ52,tciau33tsy55jin55thien52,roundtrip_mismatch,? 1 ?? ciau->tciau?IPA ???? c ?????? tc/tci/tcia??????????,????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
source_clean,result_all_converted.clean.csv,77,,125,,,,,养花天,,yan115huo55thien52,yan115huo55thien52,,,roundtrip_mismatch,ɦiaŋ115huo55tʰiẽ52,yian115huo55thien52,roundtrip_mismatch,? 1 ?? yan->yian?y- ???/????????? yi-?????????,????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
source_clean,result_all_converted.clean.csv,78,,125,,,,,黄梅天,,waon11me55thien52,waon11me55thien52,,,roundtrip_mismatch,ɦuɒŋ11mᴇ55tʰiẽ52,wuaon11me55thien52,roundtrip_mismatch,? 1 ?? waon->wuaon?w- ???/????????? wu-?????????,????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
source_clean,result_all_converted.clean.csv,81,,126,,,,,黄沙天,,waon11so55thien52,waon11so55thien52,,,roundtrip_mismatch,ɦuɒŋ11so55tʰiẽ52,wuaon11so55thien52,roundtrip_mismatch,? 1 ?? waon->wuaon?w- ???/????????? wu-?????????,????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
source_clean,result_all_converted.clean.csv,92,,126,,,,,河头水脚,,gho11deu55sy55cian52,gho11deu55sy55cian52,,,roundtrip_mismatch,ɦo11dɤ55sɿ55tɕiaŋ52,gho11deu55sy55tcian52,roundtrip_mismatch,? 4 ?? cian->tcian?IPA ???? c ?????? tc/tci/tcia??????????,????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
source_clean,result_all_converted.clean.csv,99,,126,,,,,田脚,,dien11ciaq5,dien11ciaq5,,,roundtrip_mismatch,diẽ11tɕiaʔ5,dien11tciaq5,roundtrip_mismatch,? 2 ?? ciaq->tciaq?IPA ???? c ?????? tc/tci/tcia??????????,????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
source_clean,result_all_converted.clean.csv,127,,127,,,,,山脊,,saen33ciq5,saen33ciq5,,,roundtrip_mismatch,sæ̃33tɕieʔ5,saen33tciq5,roundtrip_mismatch,? 2 ?? ciq->tciq?IPA ???? c ?????? tc/tci/tcia??????????,????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
source_clean,result_all_converted.clean.csv,130,,127,,,,,山脚,,saen33ciaq5,saen33ciaq5,,,roundtrip_mismatch,sæ̃33tɕiaʔ5,saen33tciaq5,roundtrip_mismatch,? 2 ?? ciaq->tciaq?IPA ???? c ?????? tc/tci/tcia??????????,????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
source_clean,result_all_converted.clean.csv,158,,128,,,,,㶇,,wan11,wan11,,,roundtrip_mismatch,ɦuaŋ11,wuan11,roundtrip_mismatch,? 1 ?? wan->wuan?w- ???/????????? wu-?????????,????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
source_clean,result_all_converted.clean.csv,171,,129,,,,,河沿,,gho11yen52,gho11yen52,,,forward_error,ɦo11<yen52>,,unknown_final:en:yen,???? yen ??? en ??????? finals ???????? IPA???????????????????????????,???????????? wupin_ipa_map.json???????????
source_clean,result_all_converted.clean.csv,177,,129,,,,,桥脚,,jiau11ciaq5,jiau11ciaq5,,,roundtrip_mismatch,dʑiɒ11tɕiaʔ5,jiau11tciaq5,roundtrip_mismatch,? 2 ?? ciaq->tciaq?IPA ???? c ?????? tc/tci/tcia??????????,????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
source_clean,result_all_converted.clean.csv,181,,129,,,,,箭头,,cien33deu33,cien33deu33,,,roundtrip_mismatch,tɕiẽ33dɤ33,tcien33deu33,roundtrip_mismatch,? 1 ?? cien->tcien?IPA ???? c ?????? tc/tci/tcia??????????,????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
source_clean,result_all_converted.clean.csv,194,,130,,,,,野地,,ya115di52,ya115di52,,,roundtrip_mismatch,ɦia115di52,yia115di52,roundtrip_mismatch,? 1 ?? ya->yia?y- ???/????????? yi-?????????,????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
source_clean,result_all_converted.clean.csv,195,,130,,,,,景致,,cin335tsy52,cin335tsy52,,,roundtrip_mismatch,tɕiŋ335tsɿ52,tcin335tsy52,roundtrip_mismatch,? 1 ?? cin->tcin?IPA ???? c ?????? tc/tci/tcia??????????,????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
source_clean,result_all_converted.clean.csv,200,,130,,,,,鉴湖,,cien33wu33,cien33wu33,,,roundtrip_mismatch,tɕiẽ33ɦu33,tcien33wu33,roundtrip_mismatch,? 1 ?? cien->tcien?IPA ???? c ?????? tc/tci/tcia??????????,????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
source_clean,result_all_converted.clean.csv,201,,130,,,,,金子,,cin33tsy55,cin33tsy55,,,roundtrip_mismatch,tɕiŋ33tsɿ55,tcin33tsy55,roundtrip_mismatch,? 1 ?? cin->tcin?IPA ???? c ?????? tc/tci/tcia??????????,????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
source_clean,result_all_converted.clean.csv,202,,130,,,,,白金,,baq1cin52,baq1cin52,,,roundtrip_mismatch,baʔ1tɕiŋ52,baq1tcin52,roundtrip_mismatch,? 2 ?? cin->tcin?IPA ???? c ?????? tc/tci/tcia??????????,????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
source_clean,result_all_converted.clean.csv,217,,131,,,,,水晶,,sy335cin52,sy335cin52,,,roundtrip_mismatch,sɿ335tɕiŋ52,sy335tcin52,roundtrip_mismatch,? 2 ?? cin->tcin?IPA ???? c ?????? tc/tci/tcia??????????,????????????????????????????? reverse_preferences / ?????????? IPA ???????????????????
