source_dataset	source_path	row_number_0based	sample_id	page	pdf_page	row_index	source_split	quality	hanzi	candidate_headword	wupin	canonical_wupin	current_label	ipa_conversion_status	cleaning_flags	issue_type
source_clean	result_all_converted.clean.csv	1273		167					胗							empty_wupin
source_clean	result_all_converted.clean.csv	1653		179					禔							empty_wupin
source_clean	result_all_converted.clean.csv	2405		205					蔀							empty_wupin
source_clean	result_all_converted.clean.csv	2784		217					屣							empty_wupin
source_clean	result_all_converted.clean.csv	2906		221					貌							empty_wupin
source_clean	result_all_converted.clean.csv	4318		269					鴆							empty_wupin
source_clean	result_all_converted.clean.csv	4344		270					盱							empty_wupin
source_clean	result_all_converted.clean.csv	4348		270					哨							empty_wupin
source_clean	result_all_converted.clean.csv	4417		273					搂							empty_wupin
source_clean	result_all_converted.clean.csv	4430		273					掣							empty_wupin
source_clean	result_all_converted.clean.csv	4532		277					捶							empty_wupin
source_clean	result_all_converted.clean.csv	4554		278					踮							empty_wupin
source_clean	result_all_converted.clean.csv	5004		294					薤							empty_wupin
source_clean	result_all_converted.clean.csv	5799		322					惺							empty_wupin
source_clean	result_all_converted.clean.csv	6188		336					钿							empty_wupin
source_clean	result_all_converted.clean.csv	6515		349					嘞							empty_wupin
source_clean	result_all_converted.clean.csv	6517		349					嘞							empty_wupin
source_clean	result_all_converted.clean.csv	6521		349					啊							empty_wupin
source_clean	result_all_converted.clean.csv	6522		349					噢							empty_wupin
source_clean	result_all_converted.clean.csv	6523		349					嗬							empty_wupin
source_clean	result_all_converted.clean.csv	6529		349					呸							empty_wupin
source_clean	result_all_converted.clean.csv	6534		349					嗨							empty_wupin
source_clean	result_all_converted.clean.csv	6540		350					嗬							empty_wupin
source_clean	result_all_converted.clean.csv	6541		350					吧							empty_wupin
source_clean	result_all_converted.clean.csv	6544		350					噫吧							empty_wupin
source_clean	result_all_converted.clean.csv	6548		350					嗬							empty_wupin
source_clean	result_all_converted.clean.csv	6554		350					噢							empty_wupin
source_clean	result_all_converted.clean.csv	6559		350					啊							empty_wupin
source_clean	result_all_converted.clean.csv	6561		350					嗬							empty_wupin
source_clean	result_all_converted.clean.csv	6564		351					噢							empty_wupin
