row_id,page,hanzi,wupin,alt_wupin,note,legacy_ipa_ocr,has_wupin,source
r00000,123,月亮,yoeq1lian55,yoeq8;gnioq8;yoq8,,lɦiøʔliaŋkȵiøʔliaŋ,True,result_all_converted.xlsx
r00001,123,月亮婆婆,yoeq1lian55bo55bo52,yoeq8;gnioq8;yoq8mo2mo2,对月亮的拟人称呼,ɦiøʔliaŋboboŋiøʔliaŋbobol,True,result_all_converted.xlsx
r00002,123,蛾眉月,ngo11mi55yoeq54,me2yoeq8;gnioq8;yoq8,新月,ŋomiɦiøʔ,True,result_all_converted.xlsx
r00003,123,月芽,yoeq1ngo52,yoeq8;gnioq8;yoq8,新月,ɦiøʔŋo,True,result_all_converted.xlsx
r00004,123,月亮光,yoeq1lian55kuaon52,yoeq8;gnioq8;yoq8kuaon1,月光,ɦiøʔliaŋkuɒŋȵiøʔliaŋkuɒŋf,True,result_all_converted.xlsx
r00005,123,月亮地下,yoeq1lian55di55gho52,yoeq8;gnioq8;yoq8gho4;gho6;yo4,月亮地儿,ɦiøʔliaŋldiɦoniøʔliaŋdiɦoll,True,result_all_converted.xlsx
r00006,123,月华,yoeq1wo55,yoeq8;gnioq8;yoq8wo2;wo2;wo6,月晕月亮四周的光环,ɦiøʔɦuolllllf,True,result_all_converted.xlsx
r00007,123,刚圈,kaon33chioen52,jien4;chioen1,圈儿，借指月晕或日晕,tɕʰiʔtsʰoʔɕiŋ,True,result_all_converted.xlsx
r00008,123,星,shin52,,,ɕiŋ,True,result_all_converted.xlsx
r00009,123,星宿,shin33shieu55,soq7,星座,iɕiŋɕiɤ,True,result_all_converted.xlsx
r00010,123,黄昏晓,waon11huen55shiau52,waon2huoen1,即长庚星黄昏时对金星的称呼,kilɦuɒŋhuẽɕiɒltitltlf,True,result_all_converted.xlsx
r00011,123,黄昏星,huaon33huen55shin52,waon2huoen1,即长庚星黄昏时对金星的称呼,tifɦuɒŋhuẽɕɕiŋ,True,result_all_converted.xlsx
r00012,123,五更晓,ng115kan55shiau52,ng4keon1;keon5,即启明星，黎明时对金星的称呼,flŋkaŋɕiɒlkllllllf,True,result_all_converted.xlsx
r00013,123,扁担星,pien335taen55shin52,taen1;taen5,,llpiẽtɕiŋl,True,result_all_converted.xlsx
r00014,123,牛郎星,gnieu11laon55shin52,,,ytk,True,result_all_converted.xlsx
r00015,123,纺纱星,faon335so55shin52,,星,fɒŋsoɕiŋ,True,result_all_converted.xlsx
r00016,123,七簇星,chiq3tshoq5shin52,,北斗星,tɕʰiʔtsʰoʔɕiŋ,True,result_all_converted.xlsx
