页码,汉字,拼音,Unnamed: 3,其他读法,标记,后续汉字,IPA识别
123,月亮,yoeq1lian55,gnioeq8lian6,yoeq8;gnioq8;yoq8,,,lɦiøʔliaŋkȵiøʔliaŋ
123,月亮婆婆,yoeq1lian55bo55bo52,gnioeq8lian6bo2bo2,yoeq8;gnioq8;yoq8mo2mo2,,对月亮的拟人称呼,ɦiøʔliaŋboboŋiøʔliaŋbobol
123,蛾眉月,ngo11mi55yoeq54,,me2yoeq8;gnioq8;yoq8,,新月,ŋomiɦiøʔ
123,月芽,yoeq1ngo52,,yoeq8;gnioq8;yoq8,,新月,ɦiøʔŋo
123,月亮光,yoeq1lian55kuaon52,gnioeq8lian6kuaon1,yoeq8;gnioq8;yoq8kuaon1,,月光,ɦiøʔliaŋkuɒŋȵiøʔliaŋkuɒŋf
123,月亮地下,yoeq1lian55di55gho52,gnioeq8lian6di6gho4,yoeq8;gnioq8;yoq8gho4;gho6;yo4,,月亮地儿,ɦiøʔliaŋldiɦoniøʔliaŋdiɦoll
123,月华,yoeq1wo55,,yoeq8;gnioq8;yoq8wo2;wo2;wo6,,月晕月亮四周的光环,ɦiøʔɦuolllllf
123,刚圈,kaon33chioen52,,jien4;chioen1,,圈儿，借指月晕或日晕,tɕʰiʔtsʰoʔɕiŋ
123,星,shin52,,,,,ɕiŋ
123,星宿,shin33shieu55,,soq7,,星座,iɕiŋɕiɤ
123,黄昏晓,waon11huen55shiau52,,waon2huoen1,,即长庚星黄昏时对金星的称呼,kilɦuɒŋhuẽɕiɒltitltlf
123,黄昏星,huaon33huen55shin52,,waon2huoen1,,即长庚星黄昏时对金星的称呼,tifɦuɒŋhuẽɕɕiŋ
123,五更晓,ng115kan55shiau52,,ng4keon1;keon5,,即启明星，黎明时对金星的称呼,flŋkaŋɕiɒlkllllllf
123,扁担星,pien335taen55shin52,,taen1;taen5,,,llpiẽtɕiŋl
123,牛郎星,gnieu11laon55shin52,,,,,ytk
