row_id,page,hanzi,wupin,alt_wupin,note,legacy_ipa_ocr,has_wupin,source,ipa_from_wupin,ipa_conversion_status,ipa_label_source
r00000,123,月亮,yoeq1lian55,yoeq8;gnioq8;yoq8,,lɦiøʔliaŋkȵiøʔliaŋ,True,result_all_converted.xlsx,ɦiøʔ¹liaŋ⁵⁵,ok,rule_from_trusted_wupin
r00001,123,月亮婆婆,yoeq1lian55bo55bo52,yoeq8;gnioq8;yoq8mo2mo2,对月亮的拟人称呼,ɦiøʔliaŋboboŋiøʔliaŋbobol,True,result_all_converted.xlsx,ɦiøʔ¹liaŋ⁵⁵bɒ⁵⁵bɒ⁵²,ok,rule_from_trusted_wupin
r00002,123,蛾眉月,ngo11mi55yoeq54,me2yoeq8;gnioq8;yoq8,新月,ŋomiɦiøʔ,True,result_all_converted.xlsx,ŋɒ¹¹mi⁵⁵ɦiøʔ⁵⁴,ok,rule_from_trusted_wupin
r00003,123,月芽,yoeq1ngo52,yoeq8;gnioq8;yoq8,新月,ɦiøʔŋo,True,result_all_converted.xlsx,ɦiøʔ¹ŋɒ⁵²,ok,rule_from_trusted_wupin
r00004,123,月亮光,yoeq1lian55kuaon52,yoeq8;gnioq8;yoq8kuaon1,月光,ɦiøʔliaŋkuɒŋȵiøʔliaŋkuɒŋf,True,result_all_converted.xlsx,ɦiøʔ¹liaŋ⁵⁵kuɒŋ⁵²,ok,rule_from_trusted_wupin
r00005,123,月亮地下,yoeq1lian55di55gho52,yoeq8;gnioq8;yoq8gho4;gho6;yo4,月亮地儿,ɦiøʔliaŋldiɦoniøʔliaŋdiɦoll,True,result_all_converted.xlsx,ɦiøʔ¹liaŋ⁵⁵di⁵⁵ɦɒ⁵²,ok,rule_from_trusted_wupin
r00006,123,月华,yoeq1wo55,yoeq8;gnioq8;yoq8wo2;wo2;wo6,月晕月亮四周的光环,ɦiøʔɦuolllllf,True,result_all_converted.xlsx,ɦiøʔ¹ɦɒ⁵⁵,ok,rule_from_trusted_wupin
r00007,123,刚圈,kaon33chioen52,jien4;chioen1,圈儿，借指月晕或日晕,tɕʰiʔtsʰoʔɕiŋ,True,result_all_converted.xlsx,kɒŋ³³tɕʰiø̃⁵²,ok,rule_from_trusted_wupin
r00008,123,星,shin52,,,ɕiŋ,True,result_all_converted.xlsx,ɕiŋ⁵²,ok,rule_from_trusted_wupin
r00009,123,星宿,shin33shieu55,soq7,星座,iɕiŋɕiɤ,True,result_all_converted.xlsx,ɕiŋ³³ɕiə⁵⁵,ok,rule_from_trusted_wupin
