合并状态,source_page,pdf_page,词条,OCR行号,OCR页码,OCR汉字,VLM_IPA,OCR_IPA,IPA完全相同,IPA数字相同,IPA音段相同,IPA只有数字不同,IPA相似度,VLM吴拼_由IPA反推,OCR吴拼,吴拼完全相同,吴拼数字相同,吴拼字母相同,吴拼只有数字不同,吴拼相似度,VLM吴拼反推状态,VLM_IPA来源,VLM_原始IPA字段,VLM_ipa_raw,VLM置信度,VLM备注,OCR后续汉字
两边都有,259,137,大戏,15,259,大戏,do11ɕi11,da11ɕi11,否,是,否,否,0.875,do11shi11,da11shi11,否,是,否,否,0.888889,ok,syllables_json.final,do11ɕi11,do11ɕi11,0.9,,大戏do11¥it{指绍棹l中个本的直台戏
两边都有,259,137,小哥班,11,259,小哥班,ɕiɒ335ko33pæ̃52,ɕiɒ335ko55pæ̃52,否,否,是,是,0.866667,shiau335ko33paen52,shiau335ko55paen52,否,否,是,是,0.888889,ok,syllables_json.final,ɕiɒ335ko33pæ52,ɕiɔ335ko33pæ̃52,0.9,,小哥班¥io~35ko~~p矿
两边都有,259,137,小说,0,259,小说,ɕiɒ335seʔ54,ɕiɒ335seʔ54,是,是,是,否,1.0,shiau335seq54,shiau335seq54,是,是,是,否,1.0,ok,syllables_json.final,iɒ335seʔ54,ɕiɔ335seʔ54,0.9,,小说~io135se?11
两边都有,259,137,影戏,4,259,影戏,iŋ335ɕi52,iŋ335ɕi52,是,是,是,否,1.0,in335shi52,in335shi52,是,是,是,否,1.0,ok,syllables_json.final,iŋ335ɕi52,iŋ335ɕi52,0.9,,影戏i1)3.\飞i~~
两边都有,259,137,戏台,21,259,戏台,ɕi45dᴇ33,ɕi33tʰᴇ33,否,否,否,否,0.555556,shi45de33,shi33the33,否,否,否,否,0.6,ok,syllables_json.final,ɕi45dᴇ33,ɕi45dᴇ33,0.9,,戏台~i33啦罚
两边都有,259,137,炮仗,26,259,炮仗,pʰɒ33dzaŋ33,pʰɒ33dzaŋ33,是,是,是,否,1.0,phau33dzan33,phau33dzan33,是,是,是,否,1.0,ok,syllables_json.final,pʰɒ33dzaŋ33,pʰɒ33dzaŋ33,0.9,,炮仗p~33dzaIJ阴
两边都有,259,137,烟火,28,259,烟火,iẽ33hu55,iẽ33hu55,是,是,是,否,1.0,ien33hu55,ien33hu55,是,是,是,否,1.0,ok,syllables_json.final,iẽ33hu55,iẽ33hu55,0.9,,烟火i睬hu穸焰火。
两边都有,259,137,照片,22,259,照片,tsɒ33pʰiẽ33,tsɒ33pʰiẽ33,是,是,是,否,1.0,tsau33phien33,tsau33phien33,是,是,是,否,1.0,ok,syllables_json.final,tsɒ33pʰiẽ33,tsɒ33pʰiẽ33,0.9,,照片tso33p哏.l.l
两边都有,259,137,电影,3,259,电影,diẽ11iŋ11,diẽ11iŋ11,是,是,是,否,1.0,dien11in11,dien11in11,是,是,是,否,1.0,ok,syllables_json.final,diẽ11iŋ11,diẽ11iŋ11,0.9,,电影die11i1J铲
两边都有,259,137,绍剧,13,259,绍剧,zɒ11dʑieʔ5,zɒ11dʑieʔ1,否,否,是,是,0.9,zau11jiq5,zau11jiq1,否,否,是,是,0.888889,ok,syllables_json.final,zɒ11dʑieʔ5,zɒ11dʑieʔ5,0.9,,绍剧zo11如e?f3
